fold,recall_target,threshold,tn,fp,fn,tp,precision,recall,f1,auc
0,0.85,0.01,0,15,0,42,0.7368421052631579,1.0,0.8484848484848485,0.9063492063492063
0,0.9,0.01,0,15,0,42,0.7368421052631579,1.0,0.8484848484848485,0.9063492063492063
1,0.85,0.01,0,15,0,42,0.7368421052631579,1.0,0.8484848484848485,0.9095238095238095
1,0.9,0.01,0,15,0,42,0.7368421052631579,1.0,0.8484848484848485,0.9095238095238095
2,0.85,0.01,0,15,0,42,0.7368421052631579,1.0,0.8484848484848485,0.9238095238095237
2,0.9,0.01,0,15,0,42,0.7368421052631579,1.0,0.8484848484848485,0.9238095238095237
3,0.85,0.01,0,15,0,42,0.7368421052631579,1.0,0.8484848484848485,0.9793650793650794
3,0.9,0.01,0,15,0,42,0.7368421052631579,1.0,0.8484848484848485,0.9793650793650794
4,0.85,0.01,0,15,0,42,0.7368421052631579,1.0,0.8484848484848485,0.8523809523809524
4,0.9,0.01,0,15,0,42,0.7368421052631579,1.0,0.8484848484848485,0.8523809523809524
