slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.09408115,0.030200996,1,0,False
1,0.08254691,0.03019625,2,4,False
2,0.07507384,0.030368343,3,8,False
3,0.062121026,0.030514639,32,12,False
4,0.050323483,0.030681157,4,16,False
5,0.041283477,0.030775394,31,20,False
6,0.02852911,0.03101567,30,24,False
7,0.020998755,0.031324267,5,28,False
8,0.016697004,0.031594913,29,32,False
9,0.013370915,0.03172352,28,36,False
10,0.011721937,0.031711992,6,40,False
11,0.009891101,0.031795528,27,44,False
12,0.009217167,0.031786747,26,48,False
13,0.007882756,0.031828377,7,52,False
14,0.0066388138,0.031777114,25,56,False
15,0.006238261,0.03175453,8,60,True
16,0.0060651996,0.03178067,24,64,True
17,0.0060761212,0.0318274,9,68,True
18,0.006529677,0.031803325,23,72,True
19,0.009084847,0.0316964,10,76,True
20,0.011443913,0.031604532,22,80,True
21,0.012313373,0.03149952,11,84,True
22,0.0142538715,0.031479966,21,88,True
23,0.019774571,0.031392146,12,92,True
24,0.026557283,0.031303067,13,96,True
25,0.033983838,0.031155046,20,100,True
26,0.039181333,0.03109764,14,104,True
27,0.04426467,0.031012662,15,108,True
28,0.048853047,0.030889899,19,112,True
29,0.05770789,0.030875962,16,116,True
30,0.06083444,0.030792803,18,120,True
31,0.06646017,0.030739494,17,124,True
