slice_index,attention_weight,selection_weight,rank,z_coordinate,has_tumor
0,0.02738342,0.02680474,11,0,False
1,0.02716841,0.02700598,12,4,False
2,0.027670983,0.027132642,7,8,False
3,0.026791055,0.027275205,9,12,False
4,0.026688136,0.028258078,8,16,False
5,0.03018182,0.031422153,10,20,False
6,0.041094746,0.04165976,13,24,False
7,0.03803668,0.0406067,6,28,False
8,0.039652474,0.040514108,22,32,False
9,0.03322205,0.03861268,15,36,False
10,0.07914229,0.0450469,14,40,False
11,0.04687743,0.03845232,18,44,False
12,0.030929811,0.032145504,19,48,False
13,0.028658675,0.03047779,26,52,False
14,0.02901773,0.030223751,23,56,False
15,0.027847799,0.030501686,17,60,False
16,0.027986676,0.03072312,20,64,True
17,0.028506445,0.030873548,16,68,True
18,0.028270772,0.03128753,3,72,True
19,0.027960224,0.030713474,21,76,True
20,0.027656188,0.030402241,28,80,True
21,0.029186431,0.03026262,25,84,True
22,0.02805865,0.03017871,1,88,True
23,0.025998339,0.029521996,2,92,True
24,0.027410109,0.029200738,29,96,True
25,0.028146354,0.028562691,30,100,True
26,0.026536379,0.028073728,4,104,True
27,0.027470797,0.027624084,5,108,True
28,0.027040955,0.027260536,27,112,True
29,0.02689696,0.026670784,32,116,True
30,0.026221914,0.02627302,31,120,True
31,0.026289314,0.026231196,24,124,True
