fold,method,threshold,tn,fp,fn,tp,precision,recall,f1,accuracy
0,recall_targeted,0.38,0,15,0,42,0.7368421052631579,1.0,0.8484848484848485,0.7368421052631579
1,recall_targeted,0.38,0,15,0,42,0.7368421052631579,1.0,0.8484848484848485,0.7368421052631579
2,recall_targeted,0.39,15,0,29,13,1.0,0.30952380952380953,0.4727272727272727,0.49122807017543857
3,recall_targeted,0.38,0,15,0,42,0.7368421052631579,1.0,0.8484848484848485,0.7368421052631579
4,recall_targeted,0.38,1,14,1,41,0.7454545454545455,0.9761904761904762,0.845360824742268,0.7368421052631579
0,fixed_0.5,0.5,15,0,42,0,0.0,0.0,0.0,0.2631578947368421
1,fixed_0.5,0.5,0,15,0,42,0.7368421052631579,1.0,0.8484848484848485,0.7368421052631579
2,fixed_0.5,0.5,15,0,42,0,0.0,0.0,0.0,0.2631578947368421
3,fixed_0.5,0.5,0,15,0,42,0.7368421052631579,1.0,0.8484848484848485,0.7368421052631579
4,fixed_0.5,0.5,15,0,16,26,1.0,0.6190476190476191,0.7647058823529411,0.7192982456140351
